Characteristic value was written successfully
Notification handle = 0x0011 value: 7a 91 f1 ff c3 ff f9 03 12 00 ee ff 07 00 f9 ff 74 00 ae 00 
Notification handle = 0x0011 value: 80 91 f1 ff c5 ff f8 03 12 00 ef ff 07 00 fb ff 72 00 b1 00 
Notification handle = 0x0011 value: 87 91 f0 ff c4 ff f8 03 13 00 ef ff 07 00 fb ff 6c 00 a8 00 
Notification handle = 0x0011 value: 8d 91 f2 ff c4 ff f8 03 12 00 ef ff 07 00 fc ff 74 00 a9 00 
Notification handle = 0x0011 value: 93 91 f3 ff c4 ff f8 03 12 00 ee ff 07 00 f6 ff 74 00 b2 00 
Notification handle = 0x0011 value: 99 91 f2 ff c3 ff f8 03 12 00 ee ff 07 00 f5 ff 6f 00 b5 00 
Notification handle = 0x0011 value: a0 91 f1 ff c3 ff f9 03 12 00 ee ff 07 00 f5 ff 6f 00 b7 00 
Notification handle = 0x0011 value: a6 91 f2 ff c4 ff f9 03 13 00 ee ff 07 00 fc ff 6c 00 b4 00 
Notification handle = 0x0011 value: ac 91 f3 ff c4 ff f8 03 13 00 ef ff 07 00 f6 ff 71 00 b2 00 
Notification handle = 0x0011 value: b2 91 f2 ff c5 ff f8 03 12 00 ef ff 07 00 fe ff 7a 00 b1 00 
Notification handle = 0x0011 value: b9 91 f2 ff c3 ff f9 03 12 00 ef ff 07 00 fb ff 6f 00 b8 00 
Notification handle = 0x0011 value: bf 91 f2 ff c4 ff f8 03 12 00 ef ff 07 00 ff ff 74 00 b7 00 
Notification handle = 0x0011 value: c5 91 f2 ff c4 ff f9 03 12 00 ef ff 08 00 fb ff 74 00 ac 00 
Notification handle = 0x0011 value: cb 91 f0 ff c2 ff f8 03 12 00 ee ff 08 00 fb ff 71 00 b8 00 
Notification handle = 0x0011 value: d2 91 f2 ff c5 ff f8 03 12 00 ee ff 07 00 f2 ff 72 00 b4 00 
Notification handle = 0x0011 value: d8 91 f4 ff c5 ff f9 03 12 00 ee ff 07 00 02 00 77 00 b2 00 
Notification handle = 0x0011 value: de 91 f1 ff c3 ff f8 03 12 00 ee ff 07 00 f3 ff 6f 00 ac 00 
Notification handle = 0x0011 value: e4 91 f1 ff c5 ff f8 03 12 00 ee ff 08 00 f8 ff 72 00 af 00 
Notification handle = 0x0011 value: eb 91 f1 ff c4 ff f8 03 12 00 ee ff 07 00 f2 ff 71 00 b1 00 
Notification handle = 0x0011 value: f1 91 f4 ff c3 ff f7 03 12 00 ee ff 08 00 f9 ff 77 00 b5 00 
Notification handle = 0x0011 value: f7 91 f2 ff c4 ff f8 03 12 00 ef ff 07 00 f5 ff 71 00 b8 00 
Notification handle = 0x0011 value: fd 91 ef ff c4 ff f8 03 12 00 ef ff 07 00 fb ff 72 00 b7 00 
Notification handle = 0x0011 value: 04 92 f3 ff c4 ff f7 03 13 00 ee ff 07 00 f5 ff 6e 00 b4 00 
Notification handle = 0x0011 value: 0a 92 f3 ff c4 ff f9 03 12 00 ee ff 07 00 fb ff 6f 00 ae 00 
Notification handle = 0x0011 value: 10 92 f2 ff c3 ff f9 03 12 00 ee ff 07 00 fc ff 74 00 b1 00 
Notification handle = 0x0011 value: 16 92 f1 ff c4 ff f8 03 13 00 ef ff 08 00 f3 ff 72 00 af 00 
Notification handle = 0x0011 value: 1d 92 f4 ff c4 ff f8 03 12 00 ee ff 07 00 fc ff 71 00 b5 00 
