Characteristic value was written successfully
Notification handle = 0x0011 value: ed 68 9b fc 77 01 d7 fe 16 00 cd ff 03 00 dc 00 df 00 01 ff 
Notification handle = 0x0011 value: f3 68 a8 fc 4c 01 a8 fe d4 ff e7 ff cf ff e1 00 d6 00 06 ff 
Notification handle = 0x0011 value: f9 68 2a fd c6 00 40 fe 09 00 46 00 5a ff e1 00 dc 00 03 ff 
Notification handle = 0x0011 value: 00 69 9e fd c5 00 34 fe c8 00 e4 00 f3 fe ee 00 df 00 0c ff 
Notification handle = 0x0011 value: 06 69 20 fd 67 00 08 fd 55 01 a9 02 c1 fe f4 00 df 00 1e ff 
Notification handle = 0x0011 value: 0c 69 3b fe f6 ff 2e fd f1 01 d6 03 a9 fe 09 01 db 00 3c ff 
Notification handle = 0x0011 value: 12 69 b3 fd 42 00 e3 fb 6d 03 7e 05 aa ff 0c 01 d0 00 72 ff 
Notification handle = 0x0011 value: 19 69 da fd 00 01 57 fa 34 04 46 08 31 00 18 01 c7 00 ab ff 
Notification handle = 0x0011 value: 1f 69 bc fe b8 01 18 f8 6b 03 07 0c 8b ff 21 01 91 00 fa ff 
Notification handle = 0x0011 value: 25 69 4e fd 32 02 d8 f5 48 01 50 0f 83 fe 41 01 33 00 5b 00 
Notification handle = 0x0011 value: 2b 69 c1 fd ff 02 20 f6 ea fd 6a 10 62 ff 38 01 b5 ff 9f 00 
Notification handle = 0x0011 value: 32 69 34 fd 0f 02 9b f7 64 fa 53 0f 6b 00 17 01 13 ff b8 00 
Notification handle = 0x0011 value: 38 69 50 01 81 00 67 fc 5e fd 91 0b 18 03 f0 00 82 fe a2 00 
Notification handle = 0x0011 value: 3e 69 b8 03 18 00 df fe 6e fd a4 07 03 01 e7 00 2f fe 75 00 
Notification handle = 0x0011 value: 44 69 5e 04 c0 ff 41 00 16 fd 61 03 31 ff d0 00 f9 fd 4c 00 
Notification handle = 0x0011 value: 4b 69 f5 02 09 ff c3 00 c4 ff b7 fe cd fe bb 00 fe fd 48 00 
Notification handle = 0x0011 value: 51 69 01 02 4c 00 37 00 11 02 b2 fc c5 ff c0 00 16 fe 61 00 
Notification handle = 0x0011 value: 57 69 c1 03 9b fe 64 fd bd 00 91 fe 83 01 cf 00 23 fe 66 00 
Notification handle = 0x0011 value: 5d 69 ea 04 83 fe f0 f7 a7 01 00 06 07 01 e7 00 05 fe 5a 00 
Notification handle = 0x0011 value: 64 69 c4 fc ec fe 1f ff e5 0c 96 0a 9b 0a 3b 01 c0 fd 0a 00 
Notification handle = 0x0011 value: 6a 69 37 ff 1d 0f 46 03 3f fc e6 fc 91 ff 90 01 d1 fd 04 00 
Notification handle = 0x0011 value: 70 69 e5 0a be fc ab f5 ef e6 dc 01 bb f4 ae 00 c3 fd 16 00 
Notification handle = 0x0011 value: 76 69 66 02 bd f9 81 fc 36 0c 55 fd 80 06 ae 00 cb fd 15 00 
Notification handle = 0x0011 value: 7d 69 58 00 8d 07 de ff ee fd 93 01 e9 ff 14 01 cb fd 1f 00 
Notification handle = 0x0011 value: 83 69 a7 07 89 fd c4 00 dd f7 6e 01 82 fe bd 00 b9 fd 10 00 
Notification handle = 0x0011 value: 89 69 77 09 71 00 50 fe 5d ff 30 ff 9b ff b2 00 bc fd 03 00 
