Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,224.000000,490.000000,844.000000,7.000000,-10.000000,5.000000,-67.000000,-154.000000,488.000000
0.050000,220.000000,487.000000,842.000000,20.000000,-7.000000,-3.000000,-61.000000,-145.000000,494.000000
0.100000,210.000000,499.000000,841.000000,22.000000,-15.000000,-8.000000,-61.000000,-142.000000,494.000000
0.150000,218.000000,506.000000,839.000000,26.000000,-14.000000,-7.000000,-62.000000,-148.000000,497.000000
0.200000,221.000000,510.000000,839.000000,32.000000,-7.000000,-9.000000,-61.000000,-148.000000,491.000000
0.250000,219.000000,501.000000,839.000000,28.000000,-18.000000,1.000000,-77.000000,-142.000000,490.000000
0.300000,218.000000,507.000000,836.000000,26.000000,-2.000000,7.000000,-67.000000,-146.000000,487.000000
0.350000,217.000000,504.000000,841.000000,28.000000,-2.000000,7.000000,-67.000000,-148.000000,484.000000
0.400000,208.000000,503.000000,842.000000,31.000000,-3.000000,6.000000,-58.000000,-140.000000,494.000000
0.450000,208.000000,505.000000,846.000000,27.000000,-7.000000,9.000000,-67.000000,-155.000000,482.000000
0.500000,208.000000,513.000000,844.000000,25.000000,1.000000,14.000000,-67.000000,-140.000000,488.000000
0.550000,216.000000,501.000000,844.000000,16.000000,-14.000000,31.000000,-62.000000,-142.000000,485.000000
0.600000,219.000000,513.000000,837.000000,23.000000,-12.000000,32.000000,-59.000000,-143.000000,491.000000
0.650000,216.000000,518.000000,840.000000,25.000000,-9.000000,24.000000,-65.000000,-139.000000,491.000000
0.700000,210.000000,514.000000,839.000000,14.000000,-24.000000,32.000000,-64.000000,-145.000000,485.000000
0.750000,210.000000,504.000000,828.000000,14.000000,-11.000000,51.000000,-67.000000,-142.000000,485.000000
0.800000,205.000000,495.000000,828.000000,0.000000,-11.000000,66.000000,-62.000000,-145.000000,479.000000
0.850000,232.000000,505.000000,840.000000,7.000000,-16.000000,43.000000,-62.000000,-142.000000,487.000000
0.900000,222.000000,500.000000,841.000000,19.000000,9.000000,42.000000,-55.000000,-134.000000,485.000000
0.950000,211.000000,515.000000,846.000000,7.000000,10.000000,63.000000,-53.000000,-146.000000,485.000000
1.000000,201.000000,510.000000,849.000000,0.000000,7.000000,58.000000,-52.000000,-146.000000,484.000000
