Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,989.000000,-178.000000,-17.000000,-98.000000,-25.000000,-7.000000,640.000000,-939.000000,-577.000000
0.050000,968.000000,-160.000000,-21.000000,-14.000000,-23.000000,-2.000000,631.000000,-936.000000,-577.000000
0.100000,968.000000,-134.000000,-24.000000,18.000000,-16.000000,-9.000000,636.000000,-934.000000,-582.000000
0.150000,974.000000,-141.000000,-21.000000,-4.000000,-15.000000,25.000000,637.000000,-936.000000,-579.000000
0.200000,983.000000,-157.000000,-13.000000,-12.000000,-16.000000,21.000000,639.000000,-925.000000,-579.000000
0.250000,979.000000,-149.000000,-3.000000,-7.000000,-7.000000,4.000000,645.000000,-933.000000,-580.000000
0.300000,983.000000,-137.000000,-21.000000,-2.000000,-5.000000,13.000000,640.000000,-934.000000,-579.000000
0.350000,988.000000,-143.000000,-17.000000,-18.000000,-9.000000,14.000000,642.000000,-934.000000,-579.000000
0.400000,969.000000,-144.000000,-4.000000,26.000000,-1.000000,-4.000000,645.000000,-936.000000,-580.000000
0.450000,955.000000,-152.000000,-7.000000,-11.000000,14.000000,0.000000,640.000000,-933.000000,-583.000000
0.500000,989.000000,-140.000000,-24.000000,-28.000000,32.000000,0.000000,640.000000,-937.000000,-589.000000
0.550000,1002.000000,-145.000000,-22.000000,56.000000,55.000000,-27.000000,642.000000,-922.000000,-589.000000
0.600000,1027.000000,-94.000000,24.000000,70.000000,88.000000,-118.000000,634.000000,-922.000000,-603.000000
0.650000,946.000000,-110.000000,32.000000,7.000000,91.000000,-141.000000,630.000000,-915.000000,-601.000000
0.700000,972.000000,-131.000000,24.000000,-73.000000,41.000000,-85.000000,619.000000,-913.000000,-609.000000
0.750000,983.000000,-120.000000,38.000000,-39.000000,34.000000,-2.000000,624.000000,-913.000000,-610.000000
0.800000,947.000000,-115.000000,44.000000,-31.000000,2.000000,-23.000000,628.000000,-912.000000,-612.000000
0.850000,978.000000,-112.000000,33.000000,-56.000000,-12.000000,22.000000,624.000000,-907.000000,-610.000000
0.900000,1041.000000,-110.000000,26.000000,-108.000000,-74.000000,-2.000000,627.000000,-912.000000,-613.000000
0.950000,1026.000000,-95.000000,26.000000,-212.000000,-140.000000,-7.000000,642.000000,-912.000000,-604.000000
1.000000,992.000000,-177.000000,77.000000,-73.000000,129.000000,-72.000000,645.000000,-921.000000,-604.000000
1.050000,990.000000,-137.000000,20.000000,-11.000000,-36.000000,53.000000,646.000000,-919.000000,-609.000000
1.100000,921.000000,-66.000000,11.000000,-8.000000,-42.000000,169.000000,655.000000,-919.000000,-606.000000
1.150000,961.000000,-115.000000,40.000000,-17.000000,-25.000000,91.000000,672.000000,-918.000000,-607.000000
1.200000,908.000000,-38.000000,48.000000,4.000000,17.000000,-51.000000,663.000000,-907.000000,-609.000000
1.250000,866.000000,-129.000000,53.000000,-109.000000,85.000000,-131.000000,664.000000,-907.000000,-616.000000
1.300000,861.000000,-152.000000,0.000000,-21.000000,121.000000,-149.000000,655.000000,-907.000000,-619.000000
1.350000,850.000000,-124.000000,0.000000,-275.000000,60.000000,-165.000000,664.000000,-909.000000,-625.000000
1.400000,790.000000,-151.000000,-129.000000,-401.000000,-82.000000,-152.000000,651.000000,-903.000000,-631.000000
1.450000,627.000000,-263.000000,-286.000000,-175.000000,-298.000000,146.000000,682.000000,-912.000000,-627.000000
1.500000,880.000000,-386.000000,-308.000000,-736.000000,-859.000000,452.000000,712.000000,-934.000000,-591.000000
1.550000,625.000000,-574.000000,-517.000000,-1222.000000,-1425.000000,846.000000,768.000000,-975.000000,-534.000000
1.600000,1116.000000,-802.000000,-1034.000000,-140.000000,-1872.000000,1118.000000,838.000000,-997.000000,-433.000000
1.650000,1770.000000,-1198.000000,-1997.000000,-188.000000,-3638.000000,2072.000000,945.000000,-1023.000000,-270.000000
1.700000,1997.000000,-1867.000000,-1997.000000,-1646.000000,-4533.000000,1516.000000,1026.000000,-937.000000,91.000000
1.750000,1997.000000,-718.000000,-1353.000000,-322.000000,-4069.000000,2020.000000,1078.000000,-693.000000,313.000000
1.800000,775.000000,-581.000000,-584.000000,16.000000,-3857.000000,1313.000000,1054.000000,-375.000000,435.000000
1.850000,-398.000000,-187.000000,-149.000000,364.000000,-1940.000000,1079.000000,1051.000000,-139.000000,394.000000
1.900000,-869.000000,-87.000000,-242.000000,333.000000,-625.000000,466.000000,1041.000000,-25.000000,361.000000
1.950000,-233.000000,-110.000000,-146.000000,273.000000,175.000000,104.000000,1038.000000,22.000000,349.000000
2.000000,-27.000000,311.000000,-198.000000,-144.000000,142.000000,79.000000,1032.000000,42.000000,355.000000
2.050000,457.000000,441.000000,-118.000000,-1059.000000,268.000000,0.000000,970.000000,46.000000,405.000000
2.100000,587.000000,-160.000000,-622.000000,-31.000000,754.000000,-308.000000,934.000000,12.000000,441.000000
2.150000,-604.000000,-368.000000,-1258.000000,1073.000000,-1071.000000,-174.000000,994.000000,19.000000,399.000000
2.200000,-953.000000,-179.000000,-1126.000000,-355.000000,-6477.000000,740.000000,1017.000000,189.000000,174.000000
2.250000,1104.000000,763.000000,1998.000000,-1696.000000,433.000000,1148.000000,885.000000,280.000000,148.000000
2.300000,-268.000000,-1446.000000,-366.000000,-4761.000000,-539.000000,-64.000000,862.000000,268.000000,216.000000
2.350000,-1260.000000,1085.000000,-1118.000000,4752.000000,-2195.000000,-46.000000,951.000000,315.000000,-1.000000
2.400000,-1967.000000,-592.000000,-149.000000,-475.000000,-73.000000,206.000000,957.000000,306.000000,-15.000000
2.450000,-1794.000000,-613.000000,-44.000000,595.000000,332.000000,-260.000000,963.000000,307.000000,-16.000000
2.500000,-1267.000000,-196.000000,-179.000000,653.000000,37.000000,-320.000000,990.000000,289.000000,-21.000000
2.550000,-786.000000,-220.000000,-279.000000,-1219.000000,135.000000,30.000000,988.000000,282.000000,15.000000
2.600000,-828.000000,-116.000000,-233.000000,-613.000000,-103.000000,104.000000,984.000000,295.000000,30.000000
2.650000,-776.000000,-200.000000,-241.000000,436.000000,-172.000000,-116.000000,972.000000,303.000000,21.000000
2.700000,-893.000000,-66.000000,-188.000000,228.000000,-196.000000,-47.000000,978.000000,301.000000,6.000000
2.750000,-1164.000000,-302.000000,-195.000000,-121.000000,-170.000000,9.000000,984.000000,294.000000,10.000000
2.800000,-890.000000,-61.000000,-184.000000,15.000000,-8.000000,-29.000000,988.000000,298.000000,-6.000000
2.850000,-894.000000,-222.000000,-136.000000,-39.000000,-81.000000,2.000000,993.000000,303.000000,9.000000
2.900000,-992.000000,-138.000000,-130.000000,177.000000,-108.000000,-91.000000,991.000000,300.000000,-21.000000
2.950000,-1051.000000,-137.000000,-136.000000,81.000000,-76.000000,-14.000000,1003.000000,297.000000,-27.000000
