Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,104.000000,-340.000000,1101.000000,98.000000,-695.000000,-506.000000,406.000000,82.000000,-535.000000
0.050000,-408.000000,-829.000000,1528.000000,-21.000000,-1893.000000,-1474.000000,432.000000,33.000000,-573.000000
0.100000,-1602.000000,-1276.000000,1787.000000,-13.000000,-2887.000000,-1953.000000,472.000000,-63.000000,-613.000000
0.150000,-1545.000000,-1282.000000,1998.000000,-140.000000,-3670.000000,-2011.000000,489.000000,-210.000000,-634.000000
0.200000,-1998.000000,-1277.000000,1715.000000,-527.000000,-3592.000000,-2083.000000,481.000000,-358.000000,-591.000000
0.250000,-1215.000000,-462.000000,1012.000000,-566.000000,-2842.000000,-1807.000000,451.000000,-477.000000,-514.000000
0.300000,4.000000,-547.000000,545.000000,-551.000000,-1995.000000,-1633.000000,418.000000,-540.000000,-441.000000
0.350000,901.000000,-331.000000,403.000000,-759.000000,-1061.000000,-670.000000,379.000000,-580.000000,-396.000000
0.400000,993.000000,-477.000000,403.000000,-557.000000,-209.000000,-123.000000,375.000000,-588.000000,-366.000000
0.450000,948.000000,-800.000000,385.000000,-36.000000,490.000000,413.000000,397.000000,-570.000000,-369.000000
0.500000,684.000000,-668.000000,755.000000,-263.000000,786.000000,327.000000,402.000000,-576.000000,-384.000000
0.550000,638.000000,128.000000,1834.000000,933.000000,-27.000000,-326.000000,402.000000,-558.000000,-417.000000
0.600000,34.000000,-345.000000,1998.000000,2867.000000,-1881.000000,-132.000000,375.000000,-585.000000,-420.000000
0.650000,-1442.000000,-1785.000000,-1840.000000,2415.000000,-4151.000000,-2115.000000,336.000000,-598.000000,-351.000000
0.700000,-1600.000000,-1861.000000,-1969.000000,921.000000,292.000000,1276.000000,306.000000,-613.000000,-424.000000
0.750000,1365.000000,-1354.000000,1712.000000,-8560.000000,2705.000000,-953.000000,297.000000,-625.000000,-367.000000
0.800000,-240.000000,813.000000,-868.000000,712.000000,-2394.000000,-3593.000000,219.000000,-645.000000,-298.000000
0.850000,-67.000000,-224.000000,138.000000,3193.000000,93.000000,758.000000,294.000000,-624.000000,-351.000000
0.900000,325.000000,-564.000000,35.000000,-2810.000000,508.000000,-514.000000,354.000000,-595.000000,-292.000000
0.950000,1856.000000,-586.000000,1191.000000,-1258.000000,114.000000,81.000000,279.000000,-624.000000,-292.000000
1.000000,1815.000000,-728.000000,637.000000,196.000000,-56.000000,155.000000,291.000000,-622.000000,-288.000000
1.050000,1038.000000,-897.000000,965.000000,-470.000000,668.000000,298.000000,304.000000,-622.000000,-292.000000
1.100000,564.000000,-266.000000,577.000000,-478.000000,93.000000,-55.000000,295.000000,-616.000000,-289.000000
1.150000,408.000000,-462.000000,308.000000,521.000000,-92.000000,2.000000,291.000000,-621.000000,-286.000000
1.200000,514.000000,-436.000000,327.000000,-450.000000,-72.000000,-156.000000,297.000000,-621.000000,-295.000000
1.250000,754.000000,-443.000000,371.000000,-480.000000,-65.000000,-116.000000,282.000000,-613.000000,-285.000000
1.300000,936.000000,-392.000000,510.000000,-47.000000,-23.000000,-68.000000,277.000000,-624.000000,-273.000000
1.350000,961.000000,-502.000000,440.000000,49.000000,11.000000,-25.000000,279.000000,-618.000000,-280.000000
1.400000,757.000000,-371.000000,387.000000,30.000000,-21.000000,-18.000000,279.000000,-621.000000,-289.000000
1.450000,756.000000,-422.000000,393.000000,15.000000,-72.000000,-35.000000,276.000000,-625.000000,-280.000000
1.500000,767.000000,-404.000000,388.000000,44.000000,-117.000000,-2.000000,279.000000,-621.000000,-274.000000
1.550000,839.000000,-515.000000,367.000000,-149.000000,-106.000000,32.000000,279.000000,-616.000000,-268.000000
1.600000,873.000000,-434.000000,414.000000,158.000000,-95.000000,86.000000,280.000000,-630.000000,-267.000000
1.650000,806.000000,-441.000000,339.000000,56.000000,-97.000000,23.000000,294.000000,-622.000000,-268.000000
1.700000,827.000000,-512.000000,313.000000,67.000000,-84.000000,0.000000,286.000000,-618.000000,-261.000000
1.750000,832.000000,-490.000000,379.000000,12.000000,-41.000000,14.000000,295.000000,-619.000000,-265.000000
1.800000,805.000000,-462.000000,386.000000,21.000000,-32.000000,45.000000,282.000000,-613.000000,-261.000000
1.850000,789.000000,-487.000000,345.000000,65.000000,-50.000000,59.000000,292.000000,-612.000000,-262.000000
1.900000,801.000000,-498.000000,344.000000,48.000000,-52.000000,35.000000,292.000000,-607.000000,-259.000000
1.950000,828.000000,-495.000000,372.000000,46.000000,-57.000000,15.000000,301.000000,-610.000000,-258.000000
2.000000,836.000000,-476.000000,381.000000,-4.000000,-42.000000,13.000000,298.000000,-615.000000,-261.000000
2.050000,834.000000,-499.000000,366.000000,108.000000,-66.000000,25.000000,294.000000,-615.000000,-258.000000
2.100000,813.000000,-458.000000,359.000000,21.000000,-60.000000,18.000000,291.000000,-613.000000,-258.000000
2.150000,789.000000,-472.000000,336.000000,114.000000,-65.000000,28.000000,301.000000,-619.000000,-267.000000
2.200000,798.000000,-480.000000,337.000000,34.000000,-39.000000,30.000000,297.000000,-604.000000,-253.000000
2.250000,797.000000,-444.000000,340.000000,7.000000,-42.000000,33.000000,303.000000,-609.000000,-259.000000
