Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.000000,-281.000000,578.000000,765.000000,62.000000,-19.000000,-32.000000,-277.000000,432.000000,635.000000
0.050000,-268.000000,595.000000,778.000000,60.000000,-19.000000,-27.000000,-272.000000,429.000000,643.000000
0.100000,-296.000000,603.000000,759.000000,55.000000,-63.000000,1.000000,-277.000000,443.000000,643.000000
0.150000,-269.000000,598.000000,775.000000,33.000000,0.000000,-2.000000,-271.000000,428.000000,646.000000
0.200000,-255.000000,612.000000,783.000000,3.000000,-30.000000,-3.000000,-275.000000,429.000000,647.000000
0.250000,-289.000000,575.000000,775.000000,21.000000,34.000000,26.000000,-274.000000,435.000000,641.000000
0.300000,-286.000000,584.000000,787.000000,-1.000000,-77.000000,-4.000000,-277.000000,432.000000,640.000000
0.350000,-294.000000,579.000000,743.000000,15.000000,-45.000000,6.000000,-272.000000,422.000000,643.000000
0.400000,-274.000000,576.000000,766.000000,42.000000,-17.000000,-11.000000,-275.000000,440.000000,644.000000
0.450000,-279.000000,575.000000,739.000000,28.000000,-39.000000,-4.000000,-271.000000,435.000000,641.000000
0.500000,-291.000000,614.000000,752.000000,44.000000,-16.000000,-6.000000,-274.000000,428.000000,647.000000
0.550000,-271.000000,590.000000,768.000000,18.000000,-35.000000,6.000000,-277.000000,437.000000,646.000000
0.600000,-271.000000,608.000000,768.000000,12.000000,-12.000000,-8.000000,-272.000000,432.000000,637.000000
0.650000,-286.000000,591.000000,740.000000,5.000000,16.000000,-5.000000,-277.000000,428.000000,641.000000
0.700000,-269.000000,582.000000,780.000000,10.000000,1.000000,-21.000000,-275.000000,440.000000,646.000000
0.750000,-307.000000,577.000000,727.000000,4.000000,16.000000,-1.000000,-271.000000,438.000000,652.000000
0.800000,-260.000000,537.000000,724.000000,-24.000000,25.000000,-25.000000,-265.000000,438.000000,644.000000
0.850000,-203.000000,546.000000,673.000000,-12.000000,119.000000,-155.000000,-265.000000,440.000000,646.000000
0.900000,-260.000000,597.000000,884.000000,-27.000000,-53.000000,-104.000000,-263.000000,440.000000,658.000000
0.950000,-308.000000,1025.000000,1549.000000,-112.000000,-691.000000,408.000000,-272.000000,429.000000,631.000000
1.000000,-585.000000,1186.000000,1568.000000,933.000000,-1444.000000,1110.000000,-302.000000,389.000000,614.000000
1.050000,53.000000,1471.000000,1586.000000,1064.000000,-2676.000000,1691.000000,-344.000000,300.000000,595.000000
1.100000,-139.000000,1346.000000,1140.000000,963.000000,-2693.000000,2517.000000,-394.000000,173.000000,574.000000
1.150000,14.000000,763.000000,717.000000,751.000000,-3198.000000,2428.000000,-410.000000,29.000000,604.000000
1.200000,56.000000,260.000000,216.000000,445.000000,-3626.000000,2484.000000,-385.000000,-115.000000,659.000000
1.250000,31.000000,43.000000,-362.000000,-128.000000,-3643.000000,2434.000000,-311.000000,-226.000000,742.000000
1.300000,158.000000,-182.000000,-329.000000,54.000000,-3481.000000,2151.000000,-235.000000,-292.000000,854.000000
1.350000,194.000000,-249.000000,-711.000000,-43.000000,-2963.000000,1491.000000,-164.000000,-299.000000,956.000000
1.400000,319.000000,-432.000000,-971.000000,233.000000,-2459.000000,878.000000,-127.000000,-262.000000,1039.000000
1.450000,194.000000,-483.000000,-1133.000000,232.000000,-1654.000000,296.000000,-107.000000,-227.000000,1109.000000
1.500000,-101.000000,-897.000000,-1997.000000,41.000000,-1169.000000,86.000000,-107.000000,-190.000000,1135.000000
1.550000,-1898.000000,-715.000000,-1997.000000,-838.000000,1025.000000,-471.000000,-131.000000,-182.000000,1121.000000
1.600000,1220.000000,-882.000000,-1997.000000,-2179.000000,4074.000000,552.000000,-155.000000,-236.000000,1060.000000
1.650000,-1349.000000,-1553.000000,-183.000000,-9118.000000,19429.000000,-2310.000000,-184.000000,-290.000000,613.000000
1.700000,-1998.000000,1952.000000,1998.000000,-5481.000000,7399.000000,641.000000,14.000000,335.000000,454.000000
1.750000,-553.000000,-428.000000,-1024.000000,5482.000000,-7995.000000,1152.000000,-47.000000,237.000000,403.000000
1.800000,648.000000,-768.000000,-1068.000000,-688.000000,-5173.000000,-317.000000,-67.000000,-55.000000,400.000000
1.850000,285.000000,-211.000000,-349.000000,-289.000000,-1246.000000,-275.000000,-58.000000,-130.000000,427.000000
1.900000,342.000000,-41.000000,-96.000000,303.000000,53.000000,-46.000000,-62.000000,-134.000000,436.000000
1.950000,1206.000000,460.000000,137.000000,335.000000,-53.000000,-81.000000,-79.000000,-142.000000,434.000000
2.000000,1737.000000,446.000000,295.000000,64.000000,-121.000000,148.000000,-80.000000,-140.000000,440.000000
2.050000,1675.000000,393.000000,813.000000,-650.000000,693.000000,-110.000000,-70.000000,-127.000000,421.000000
